full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,neo,pha,diameter,diameter_sigma
528 Rezia (A904 FA),3.398,0.0220,12.70,49.51,351.85,3.323,3.47,6.26,43410,0,3877,,,9.07,N,N,91.966,0.36
529 Preziosa (A904 FB),3.016,0.0933,11.02,64.99,332.02,2.735,3.30,5.24,43862,0,3883,,,9.99,N,N,32.01,1.50
530 Turandot (A904 GB),3.189,0.2178,8.56,129.11,199.55,2.494,3.88,5.69,43387,0,4485,,,9.39,N,N,84.85,2.60
531 Zerlina (A904 GC),2.783,0.1988,34.03,197.67,57.71,2.230,3.34,4.64,43386,0,3499,,,12.05,N,N,17.804,0.18
532 Herculina (A904 HE),2.769,0.1795,16.30,107.42,76.73,2.272,3.27,4.61,43365,0,4007,,,5.91,N,N,167.791,0.89
533 Sara (A904 HC),2.98,0.0442,6.56,180.30,32.14,2.848,3.11,5.14,44106,0,4016,,,9.76,N,N,30.819,0.43
534 Nassovia (A904 HD),2.882,0.0596,3.28,94.08,338.28,2.710,3.05,4.89,43280,0,4412,,,9.73,N,N,32.333,0.32
535 Montague (A904 JE),2.57,0.0257,6.77,84.76,68.04,2.504,2.64,4.12,43362,0,4243,,,9.44,N,N,79.299,0.98
536 Merapi (A904 JF),3.495,0.0875,19.43,59.20,296.04,3.189,3.80,6.53,43274,0,3811,,,8.14,N,N,147.066,5.52
537 Pauly (A904 NB),3.073,0.2292,9.87,120.16,187.67,2.369,3.78,5.39,44103,0,4191,,,8.83,N,N,40.732,0.84
538 Friederike (A904 OA),3.157,0.1712,6.52,141.16,227.50,2.617,3.70,5.61,43234,0,4208,,,9.61,N,N,70.640,0.35
539 Pamina (A904 PD),2.738,0.2142,6.80,274.22,97.27,2.152,3.32,4.53,43271,0,3822,,,10.11,N,N,68.356,0.73
540 Rosamunde (A904 PE),2.219,0.0904,5.58,202.11,337.46,2.018,2.42,3.3,43117,0,4313,,,10.73,N,N,19.152,0.12
541 Deborah (A904 PF),2.817,0.0503,6.00,267.55,0.60,2.675,2.96,4.73,43234,0,4555,,,10.19,N,N,60.147,0.71
542 Susanna (A904 QA),2.904,0.1424,12.08,152.95,216.93,2.491,3.32,4.95,43185,0,4412,,,9.43,N,N,42.117,0.40
543 Charlotte (A904 RG),3.06,0.1517,8.46,294.83,108.35,2.596,3.52,5.35,43234,0,3667,,,9.49,N,N,45.613,2.35
544 Jetta (A904 RH),2.592,0.1529,8.37,298.30,343.02,2.195,2.99,4.17,43235,0,4025,,,10.06,N,N,27.169,0.17
545 Messalina (A904 TC),3.199,0.1698,11.21,333.59,331.31,2.656,3.74,5.72,43131,0,4044,,,8.85,N,N,112.631,1.22
546 Herodias (A904 TD),2.597,0.1155,14.87,21.59,110.26,2.297,2.90,4.18,43201,0,3480,,,9.80,N,N,65.945,1.50
547 Praxedis (A904 TE),2.774,0.2357,16.86,193.06,196.57,2.120,3.43,4.62,43039,0,4102,,,9.85,N,N,52.462,1.72
548 Kressida (A904 TF),2.283,0.1842,3.87,108.40,320.32,1.862,2.70,3.45,43202,0,3680,,,11.28,N,N,14.008,1.94
549 Jessonda (A904 WA),2.687,0.2569,3.95,291.33,157.70,1.997,3.38,4.4,43135,0,3852,,,11.00,N,N,15.530,0.65
550 Senta (A904 WB),2.589,0.2225,10.11,270.68,45.17,2.013,3.17,4.17,44592,0,3701,,,9.31,N,N,37.434,0.17
551 Ortrud (A904 WC),2.968,0.1187,0.39,5.71,70.61,2.615,3.32,5.11,43169,0,4595,,,9.71,N,N,81.113,0.71
552 Sigelinde (A904 XB),3.148,0.0898,7.69,266.87,346.21,2.865,3.43,5.59,43168,0,4305,,,9.64,N,N,88.697,0.97
554 Peraga (A905 AE),2.375,0.1521,2.93,295.37,127.76,2.014,2.74,3.66,46161,0,3826,,,9.12,N,N,95.87,4.10
555 Norma (A905 AF),3.178,0.1549,2.67,130.19,1.03,2.685,3.67,5.66,43109,0,4293,,,10.79,N,N,31.040,0.15
556 Phyllis (A905 AD),2.463,0.1046,5.25,286.03,177.71,2.206,2.72,3.87,42049,0,3363,,,9.57,N,N,36.279,0.43
557 Violetta (A905 BD),2.442,0.0984,2.48,292.66,196.31,2.202,2.68,3.82,43109,0,4575,,,12.17,N,N,22.621,0.15
558 Carmen (A905 CK),2.907,0.0384,8.37,143.65,314.16,2.796,3.02,4.96,43085,0,4754,,,9.09,N,N,54.811,0.37
559 Nanon (A905 EB),2.712,0.0651,9.30,112.05,129.58,2.536,2.89,4.47,43017,0,5301,,,9.59,N,N,79.82,2.70
560 Delila (A905 EC),2.752,0.1574,8.45,105.17,5.25,2.318,3.18,4.56,43051,0,4142,,,10.96,N,N,35.334,0.28
561 Ingwelde (A905 FC),3.17,0.1225,1.55,159.14,318.31,2.782,3.56,5.64,43040,0,4064,,,11.32,N,N,31.562,0.47
562 Salome (A905 GC),3.021,0.1034,11.11,70.47,263.18,2.709,3.33,5.25,43021,0,3849,,,10.00,N,N,32.651,0.14
563 Suleika (A905 GD),2.711,0.2367,10.25,85.17,336.78,2.069,3.35,4.46,42027,0,3398,,,8.45,N,N,53.29,1.10
564 Dudu (A905 JD),2.748,0.2765,17.98,70.74,214.92,1.988,3.51,4.55,42992,0,3956,,,10.36,N,N,52.010,1.39
565 Marbachia (A905 JE),2.443,0.1313,10.99,225.66,292.31,2.122,2.76,3.82,42995,0,3981,,,10.88,N,N,27.332,0.40
566 Stereoskopia (A905 KA),3.379,0.1204,4.89,79.52,299.90,2.972,3.79,6.21,42970,0,4111,,,8.16,N,N,167.381,3.49
567 Eleutheria (A905 KB),3.133,0.0892,9.26,58.24,133.78,2.854,3.41,5.55,42933,0,4304,,,9.18,N,N,93.41,2.20
568 Cheruskia (A905 OD),2.881,0.1687,18.40,249.76,173.81,2.395,3.37,4.89,42335,0,3470,,,9.50,N,N,71.224,0.91
569 Misa (A905 OE),2.66,0.1796,1.29,301.55,142.32,2.182,3.14,4.34,42368,0,4050,,,10.09,N,N,72.95,1.60
570 Kythera (A905 OF),3.422,0.1188,1.82,223.30,161.96,3.015,3.83,6.33,42912,0,4632,,,8.83,N,N,87.486,0.78
571 Dulcinea (A905 RA),2.41,0.2430,5.23,3.14,27.48,1.825,3.00,3.74,42875,0,3932,,,11.72,N,N,11.696,0.09
572 Rebekka (A905 SF),2.401,0.1565,10.58,194.46,192.20,2.025,2.78,3.72,42863,0,3691,,,10.86,N,N,28.903,0.43
573 Recha (A905 SG),3.016,0.1100,9.83,342.66,29.94,2.684,3.35,5.24,42862,0,4028,,,9.51,N,N,47.582,0.53
575 Renate (A905 SJ),2.555,0.1267,15.00,349.60,334.08,2.231,2.88,4.08,42689,0,3714,,,10.85,N,N,19.106,0.29
576 Emanuela (A905 SK),2.989,0.1919,10.20,299.58,27.36,2.416,3.56,5.17,36111,0,4148,,,9.41,N,N,74.378,0.32
577 Rhea (A905 UR),3.111,0.1543,5.30,328.49,329.87,2.631,3.59,5.49,42831,0,4282,,,9.38,N,N,38.234,1.70
578 Happelia (A905 VJ),2.75,0.1919,6.15,29.37,261.54,2.223,3.28,4.56,42695,0,4277,,,9.52,N,N,69.29,2.10
579 Sidonia (A905 VK),3.014,0.0770,11.02,82.63,228.98,2.782,3.25,5.23,42367,0,3904,,,7.93,N,N,85.57,2.20
580 Selene (A905 YB),3.229,0.0876,3.67,98.91,338.83,2.946,3.51,5.8,42773,0,3825,,,10.32,N,N,48.204,0.24
581 Tauntonia (A905 YC),3.213,0.0346,21.89,102.44,24.96,3.102,3.32,5.76,42709,0,3724,,,9.80,N,N,61.481,0.27
582 Olympia (A906 BM),2.613,0.2207,30.01,155.70,310.03,2.037,3.19,4.22,42720,0,5350,,,9.01,N,N,44.347,0.69
583 Klotilde (A905 YD),3.171,0.1599,8.25,257.84,251.90,2.664,3.68,5.65,42667,0,3899,,,9.30,N,N,78.236,0.34
584 Semiramis (A906 AC),2.373,0.2337,10.72,282.01,85.30,1.819,2.93,3.66,42745,0,3107,,,8.56,N,N,54.01,1.40
585 Bilkis (A906 DF),2.43,0.1285,7.58,180.19,330.15,2.118,2.74,3.79,42711,0,4745,,,10.47,N,N,49.761,0.29
586 Thekla (A906 DK),3.041,0.0647,1.63,228.31,253.23,2.845,3.24,5.3,42736,0,4487,,,9.47,N,N,95.203,0.75
587 Hypsipyle (A906 DM),2.336,0.1660,24.96,324.52,189.07,1.948,2.72,3.57,42706,0,3125,,,11.87,N,N,11.022,0.09
588 Achilles (A906 DN),5.21,0.1483,10.32,316.54,133.68,4.437,5.98,11.9,42703,0,3375,,,8.27,N,N,130.099,0.55
589 Croatia (A906 EC),3.136,0.0402,10.80,177.45,228.48,3.010,3.26,5.55,42697,0,4406,,,9.15,N,N,93.617,1.01
590 Tomyris (A906 ED),2.999,0.0801,11.17,106.13,338.17,2.759,3.24,5.19,42652,0,3678,,,10.06,N,N,30.577,0.20
591 Irmgard (A906 EE),2.68,0.2090,12.45,334.14,218.51,2.120,3.24,4.39,42679,0,3699,,,10.70,N,N,51.86,1.30
592 Bathseba (A916 BB),3.022,0.1343,10.18,167.81,257.47,2.616,3.43,5.25,42522,0,3942,,,9.62,N,N,43.787,0.78
593 Titania (A906 FK),2.697,0.2173,16.91,75.94,30.83,2.111,3.28,4.43,42589,0,3167,,,9.43,N,N,70.145,0.77
595 Polyxena (A906 FL),3.211,0.0651,17.83,23.87,280.53,3.002,3.42,5.75,42645,0,3693,,,7.94,N,N,90.647,1.45
596 Scheila (A906 DL),2.928,0.1624,14.66,70.58,175.56,2.452,3.40,5.01,42644,0,5771,,,8.97,N,N,159.726,1.10
597 Bandusia (A906 HE),2.672,0.1441,12.80,36.46,307.19,2.287,3.06,4.37,42622,0,3284,,,9.23,N,N,36.06,3.50
598 Octavia (A906 GC),2.759,0.2511,12.23,91.51,292.14,2.066,3.45,4.58,42586,0,4188,,,9.68,N,N,78.237,0.52
599 Luisa (A906 HF),2.773,0.2931,16.72,44.14,294.37,1.960,3.59,4.62,42613,0,4023,,,8.80,N,N,70.249,0.54
600 Musa (A906 LA),2.66,0.0551,10.20,139.21,112.98,2.513,2.81,4.34,42582,0,4220,,,10.13,N,N,25.115,0.22
601 Nerthus (A906 MC),3.132,0.1043,16.15,169.54,160.72,2.805,3.46,5.54,42481,0,3998,,,9.70,N,N,75.535,0.50
602 Marianna (A906 DJ),3.081,0.2514,15.11,331.47,45.88,2.307,3.86,5.41,42619,0,3441,,,8.52,N,N,110.444,1.52
603 Timandra (A906 DG),2.538,0.1731,8.03,343.37,161.10,2.099,2.98,4.04,42712,0,3613,,,11.89,N,N,13.73,0.90
604 Tekmessa (A906 DH),3.153,0.1926,4.42,11.82,28.64,2.546,3.76,5.6,40902,0,3916,,,9.52,N,N,64.536,0.32
605 Juvisia (A906 QJ),3.003,0.1364,19.64,342.65,15.37,2.593,3.41,5.2,42520,0,3930,,,10.04,N,N,69.86,4.50
606 Brangane (A906 SK),2.587,0.2213,8.60,318.46,58.34,2.014,3.16,4.16,42442,0,3952,,,10.40,N,N,35.758,0.17
607 Jenny (A906 SH),2.852,0.0768,10.09,285.00,292.30,2.633,3.07,4.82,42498,0,3937,,,9.96,N,N,67.520,1.92
608 Adolfine (A916 OH),3.022,0.1245,9.37,293.74,69.94,2.645,3.40,5.25,42499,0,3459,,,10.91,N,N,20.365,0.08
609 Fulvia (A906 SL),3.087,0.0388,4.19,165.18,108.61,2.967,3.21,5.42,42523,0,4147,,,10.31,N,N,54.17,2.80
610 Valeska (A906 SN),3.096,0.2520,12.60,20.07,1.66,2.316,3.88,5.45,42472,0,2883,,,12.44,N,N,19.153,0.08
611 Valeria (A906 SM),2.977,0.1235,13.45,189.39,256.49,2.609,3.35,5.14,44141,0,4095,,,9.39,N,N,57.468,0.18
612 Veronika (A906 TC),3.152,0.2591,20.96,202.86,122.61,2.335,3.97,5.6,42340,0,3567,,,10.86,N,N,38.767,0.52
613 Ginevra (A906 TD),2.921,0.0564,7.67,354.52,66.05,2.756,3.09,4.99,44298,0,4055,,,9.67,N,N,81.344,0.35
614 Pia (A906 TE),2.695,0.1084,7.02,217.05,209.99,2.402,2.99,4.42,42476,0,3509,,,11.07,N,N,29.191,0.12
615 Roswitha (A906 TF),2.631,0.1107,2.76,13.39,246.82,2.340,2.92,4.27,43895,0,4291,,,10.31,N,N,48.626,0.28
616 Elly (A906 UK),2.553,0.0602,14.96,355.98,109.20,2.400,2.71,4.08,42479,0,3666,,,10.63,N,N,21.170,0.21
617 Patroclus (A906 UL),5.209,0.1399,22.06,44.36,308.31,4.480,5.94,11.9,2723,0,2141,,,8.18,N,N,140.362,0.87
618 Elfriede (A906 UM),3.192,0.0692,17.05,110.83,229.99,2.971,3.41,5.7,42468,0,3915,,,8.36,N,N,131.292,1.37
619 Triberga (A906 UN),2.519,0.0752,13.81,187.45,177.38,2.330,2.71,4,42464,0,4123,,,9.88,N,N,29.051,1.05
620 Drakonia (A906 UO),2.436,0.1343,7.74,359.94,336.46,2.109,2.76,3.8,33543,0,3860,,,10.94,N,N,11.385,0.16
621 Werdandi (A906 VM),3.124,0.1362,2.30,66.64,36.73,2.698,3.55,5.52,42444,0,3951,,,11.07,N,N,29.726,0.49
622 Esther (A906 VN),2.414,0.2437,8.64,141.90,256.92,1.826,3.00,3.75,42430,0,4050,,,10.36,N,N,21.874,0.24
623 Chimaera (A907 BC),2.462,0.1113,14.12,308.30,124.77,2.188,2.74,3.86,42355,0,3411,,,10.80,N,N,44.09,1.00
624 Hektor (A907 CF),5.271,0.0230,18.15,342.79,180.01,5.149,5.39,12.1,42350,0,4839,,,7.45,N,N,225,
625 Xenia (A907 CG),2.645,0.2278,12.08,127.53,200.50,2.043,3.25,4.3,42353,0,3748,,,10.04,N,N,28.287,0.20
626 Notburga (A907 CH),2.575,0.2419,25.38,341.59,43.51,1.952,3.20,4.13,42352,0,2877,,,9.18,N,N,73.236,1.24
627 Charis (A907 EJ),2.899,0.0587,6.47,142.46,178.10,2.729,3.07,4.94,42264,0,4177,,,9.95,N,N,38.018,0.15
628 Christine (A907 EK),2.581,0.0433,11.52,112.09,205.19,2.470,2.69,4.15,42329,0,3951,,,9.32,N,N,48.239,0.16
629 Bernardina (A907 EL),3.13,0.1600,9.24,86.34,38.33,2.629,3.63,5.54,42328,0,3648,,,10.02,N,N,35.087,0.51
630 Euphemia (A907 EM),2.623,0.1126,13.87,105.36,39.65,2.328,2.92,4.25,42169,0,3737,,,11.10,N,N,15.542,0.44
631 Philippina (A907 FD),2.792,0.0842,18.90,224.54,279.38,2.557,3.03,4.67,42313,0,3719,,,8.67,N,N,50.491,0.76
632 Pyrrha (A907 GY),2.662,0.1914,2.22,356.44,252.62,2.152,3.17,4.34,42298,0,4325,,,11.45,N,N,14.419,0.22
633 Zelima (A907 JH),3.017,0.0841,10.90,147.27,190.75,2.764,3.27,5.24,42123,0,4116,,,10.03,N,N,33.387,0.54
634 Ute (A907 JJ),3.051,0.1811,12.29,133.20,220.91,2.498,3.60,5.33,42261,0,4471,,,9.79,N,N,74.017,0.63
635 Vundtia (A907 LA),3.144,0.0784,11.01,182.86,228.38,2.897,3.39,5.57,42681,0,4505,,,9.16,N,N,94.415,0.50
636 Erika (A907 CE),2.912,0.1694,7.93,34.57,298.85,2.419,3.41,4.97,42186,0,4029,,,9.66,N,N,73.147,0.56
637 Chrysothemis (A907 EN),3.191,0.1187,0.25,353.62,176.15,2.812,3.57,5.7,42308,0,4134,,,11.59,N,N,24.194,0.39
638 Moira (A917 RC),2.732,0.1618,7.71,103.10,128.64,2.290,3.17,4.52,47435,0,4648,,,10.06,N,N,59.594,0.39
639 Latona (A907 OA),3.016,0.1080,8.56,279.82,70.89,2.690,3.34,5.24,42134,0,3862,,,8.34,N,N,78.509,1.16
640 Brambilla (A907 QA),3.161,0.0787,13.37,234.87,29.18,2.912,3.41,5.62,42153,0,4256,,,9.24,N,N,62.667,0.53
642 Clara (A907 RJ),3.185,0.1281,8.17,5.27,120.90,2.777,3.59,5.68,42141,0,3798,,,10.01,N,N,33.36,1.50
643 Scheherezade (A907 RK),3.358,0.0568,13.77,252.16,229.16,3.168,3.55,6.15,42062,0,3593,,,9.81,N,N,64.997,0.38
644 Cosima (A907 RG),2.6,0.1537,1.04,109.98,269.00,2.200,3.00,4.19,42144,0,4494,,,10.82,N,N,17.016,0.20
645 Agrippina (A907 RP),3.213,0.1389,7.07,359.23,88.74,2.766,3.66,5.76,42111,0,3720,,,9.82,N,N,28.916,0.18
648 Pippa (A907 RN),3.195,0.2025,9.87,290.80,180.80,2.548,3.84,5.71,42141,0,3710,,,9.65,N,N,68.27,1.60
650 Amalasuntha (A907 TL),2.458,0.1850,2.56,215.50,178.84,2.004,2.91,3.85,42062,0,3556,,,12.71,N,N,18.609,0.17
651 Antikleia (A907 TK),3.026,0.1020,10.76,37.96,353.22,2.718,3.33,5.26,42976,0,3555,,,10.12,N,N,31.895,0.12
652 Jubilatrix (A907 VS),2.555,0.1265,15.73,86.15,276.60,2.232,2.88,4.08,42085,0,3819,,,11.06,N,N,15.595,0.29
653 Berenike (A907 WC),3.012,0.0442,11.29,132.76,61.29,2.879,3.15,5.23,47492,0,4089,,,9.35,N,N,49.793,0.42
654 Zelinda (A908 AM),2.297,0.2309,18.09,278.33,214.58,1.767,2.83,3.48,42022,0,3951,12,0,8.66,N,N,160.736,1.34
655 Briseis (A907 VT),2.991,0.0838,6.51,129.85,281.68,2.740,3.24,5.17,42076,0,4226,,,10.00,N,N,29.057,0.27
656 Beagle (A917 ST),3.148,0.1328,0.52,184.27,330.43,2.730,3.57,5.59,41945,0,4284,,,10.12,N,N,62.604,0.51
657 Gunlod (A908 BK),2.611,0.1133,10.24,297.53,244.63,2.315,2.91,4.22,41803,0,3907,,,11.18,N,N,39.401,0.07
658 Asteria (A908 BL),2.854,0.0625,1.50,350.95,58.65,2.676,3.03,4.82,42524,0,4283,,,10.54,N,N,21.894,0.24
659 Nestor (A908 FE),5.168,0.1167,4.52,350.74,344.07,4.565,5.77,11.7,41943,0,3944,,,8.71,N,N,112.320,1.85
660 Crescentia (A908 AN),2.533,0.1073,15.20,156.93,106.06,2.261,2.81,4.03,41985,0,4404,,,9.12,N,N,42.302,0.35
661 Cloelia (A908 DD),3.015,0.0381,9.25,335.59,183.53,2.900,3.13,5.23,41972,0,4140,,,9.68,N,N,40.081,0.24
662 Newtonia (A908 FF),2.553,0.2158,4.12,133.69,165.62,2.002,3.10,4.08,41742,0,4406,,,10.38,N,N,22.127,0.23
663 Gerlinde (A908 MB),3.072,0.1461,17.89,232.31,313.44,2.623,3.52,5.38,41850,0,4106,,,9.21,N,N,107.795,1.57
664 Judith (A908 MC),3.2,0.2330,8.58,170.90,102.74,2.455,3.95,5.73,41837,0,4254,,,9.96,N,N,85.214,0.59
665 Sabine (A908 OE),3.142,0.1722,14.75,298.40,318.12,2.600,3.68,5.57,42744,0,4279,,,8.70,N,N,51.09,2.40
666 Desdemona (A908 OG),2.595,0.2366,7.58,215.30,173.98,1.981,3.21,4.18,41825,0,3914,,,10.70,N,N,32.741,0.37
667 Denise (A908 OF),3.186,0.1891,25.39,153.25,305.20,2.584,3.79,5.69,41781,0,4024,,,9.38,N,N,88.630,0.91
668 Dora (A908 OH),2.795,0.2349,6.84,214.38,113.06,2.138,3.45,4.67,41821,0,3570,,,12.09,N,N,21.517,0.10
669 Kypria (A908 QF),3.011,0.0756,10.79,170.72,116.54,2.783,3.24,5.22,42628,0,4195,,,10.11,N,N,29.227,0.41
670 Ottegebe (A908 QG),2.804,0.1923,7.54,174.58,194.88,2.265,3.34,4.7,42263,0,4343,,,9.49,N,N,35.886,0.50
671 Carnegia (A908 SJ),3.1,0.0643,8.02,0.49,88.20,2.901,3.30,5.46,41749,0,3877,,,10.29,N,N,60.604,0.84
672 Astarte (A908 SH),2.557,0.1348,11.11,343.88,309.30,2.212,2.90,4.09,42269,0,4991,,,11.59,N,N,35.584,0.49
673 Edda (A908 SG),2.813,0.0085,2.88,226.40,251.95,2.790,2.84,4.72,41764,0,5151,,,10.17,N,N,37.622,0.41
674 Rachele (A908 UK),2.923,0.1945,13.51,58.10,41.46,2.355,3.49,5,44406,0,2976,,,7.47,N,N,96.171,2.71
675 Ludmilla (A908 QH),2.767,0.2048,9.81,263.00,152.65,2.201,3.33,4.6,41692,0,3487,,,8.13,N,N,76,
676 Melitta (A909 BO),3.062,0.1220,12.84,150.23,185.13,2.689,3.44,5.36,41487,0,4084,,,9.53,N,N,78.369,0.44
677 Aaltje (A909 BP),2.954,0.0494,8.49,272.69,274.94,2.808,3.10,5.08,42438,0,4183,,,9.61,N,N,32.403,0.44
678 Fredegundis (A909 BQ),2.572,0.2203,6.10,281.09,121.23,2.005,3.14,4.12,41538,0,3471,,,9.30,N,N,39.585,0.58
679 Pax (A909 BR),2.587,0.3097,24.40,112.09,267.07,1.786,3.39,4.16,41621,0,4020,,,9.15,N,N,63.909,0.21
680 Genoveva (A909 HF),3.143,0.2961,17.52,37.95,245.76,2.212,4.07,5.57,41550,0,3896,,,9.50,N,N,83.92,1.40
681 Gorgo (A909 JB),3.108,0.1006,12.57,177.84,115.93,2.795,3.42,5.48,41531,0,3868,,,10.80,N,N,20.390,2.44
683 Lanzia (A909 OA),3.116,0.0584,18.52,259.65,280.65,2.934,3.30,5.5,41456,0,4219,,,8.74,N,N,83.04,22.20
684 Hildburg (A909 PB),2.432,0.0345,5.52,336.35,291.09,2.348,2.52,3.79,41325,0,3965,,,10.91,N,N,19.040,0.19
685 Hermia (A909 PC),2.236,0.1961,3.65,235.17,80.91,1.797,2.67,3.34,41304,0,4024,,,12.03,N,N,10.95,0.90
686 Gersuind (A909 QA),2.588,0.2684,15.69,243.02,89.06,1.894,3.28,4.16,41435,0,3846,,,9.65,N,N,55.258,0.56
687 Tinette (A909 QB),2.722,0.2719,14.88,334.33,52.53,1.982,3.46,4.49,41435,0,3036,,,11.68,N,N,21.533,0.54
688 Melanie (A909 QC),2.699,0.1385,10.24,170.83,139.16,2.325,3.07,4.43,41425,0,3856,,,10.88,N,N,41.614,0.23
689 Zita (A916 RB),2.315,0.2296,5.74,168.12,188.40,1.784,2.85,3.52,41409,0,4408,,,12.29,N,N,15.621,0.23
690 Wratislavia (A909 UE),3.15,0.1768,11.24,253.05,114.51,2.593,3.71,5.59,44067,0,3659,,,8.06,N,N,134.65,3.80
691 Lehigh (A909 XB),3.009,0.1241,13.02,87.96,304.34,2.635,3.38,5.22,39437,0,3767,,,9.30,N,N,79.451,0.56
692 Hippodamia (A901 VJ),3.382,0.1689,26.08,63.46,53.64,2.811,3.95,6.22,44196,0,3208,,,8.99,N,N,42.771,0.63
693 Zerbinetta (A909 SD),2.944,0.0303,14.19,351.71,284.22,2.855,3.03,5.05,41399,0,3850,,,9.58,N,N,82.114,0.47
694 Ekard (A909 VC),2.671,0.3233,15.90,229.96,111.88,1.808,3.53,4.37,41335,0,3866,,,9.20,N,N,121.891,0.72
695 Bella (A909 VD),2.539,0.1604,13.85,275.47,79.81,2.132,2.95,4.05,39904,0,3524,,,9.12,N,N,40.620,0.67
696 Leonora (A916 BD),3.174,0.2491,13.02,299.43,103.37,2.383,3.96,5.65,39557,0,3384,,,9.52,N,N,81.580,0.86
697 Galilea (A910 CL),2.883,0.1539,15.12,15.41,333.22,2.439,3.33,4.9,41252,0,4280,,,9.50,N,N,80.14,1.70
698 Ernestina (A910 ED),2.867,0.1111,11.53,40.61,98.22,2.548,3.19,4.85,41552,0,3935,,,10.90,N,N,27.037,0.24
700 Auravictrix (A910 LD),2.23,0.1047,6.79,96.79,101.77,1.996,2.46,3.33,41143,0,3751,,,11.05,N,N,16.421,0.36
701 Oriola (A910 ND),3.012,0.0373,7.13,243.55,325.27,2.900,3.12,5.23,42475,0,4419,,,9.20,N,N,42.943,0.27
702 Alauda (A910 OA),3.195,0.0163,20.60,289.72,353.72,3.143,3.25,5.71,41101,0,4057,,,7.41,N,N,190.980,1.97
704 Interamnia (A910 TC),3.06,0.1562,17.30,280.23,94.55,2.582,3.54,5.35,41001,0,5242,,,6.29,N,N,306.313,1.03
705 Erminia (A910 TE),2.924,0.0511,25.02,2.78,102.33,2.775,3.07,5,41020,0,3739,,,8.44,N,N,132.261,1.18
706 Hirundo (A910 TF),2.728,0.1953,14.43,325.34,31.20,2.195,3.26,4.51,40954,0,3571,,,11.04,N,N,30.819,0.55
708 Raphaela (A911 CB),2.674,0.0848,3.48,355.16,198.80,2.447,2.90,4.37,47523,0,4302,,,10.58,N,N,21.43,1.50
709 Fringilla (A911 CC),2.914,0.1133,16.26,324.37,19.66,2.584,3.24,4.97,42632,0,3709,,,9.13,N,N,95.173,0.81
710 Gertrud (A911 DB),3.131,0.1318,1.75,140.17,99.63,2.718,3.54,5.54,40664,0,4138,,,11.19,N,N,29.208,0.25
712 Boliviana (A911 FF),2.576,0.1851,12.76,230.69,181.48,2.099,3.05,4.13,40856,0,4157,,,8.66,N,N,124.125,1.26
713 Luscinia (A911 HG),3.401,0.1552,10.34,217.46,138.60,2.873,3.93,6.27,40826,0,4150,,,9.01,N,N,97.968,0.88
714 Ulula (A911 KG),2.535,0.0554,14.27,233.69,232.98,2.394,2.67,4.04,40795,0,4060,,,9.08,N,N,41.343,2.35
715 Transvaalia (A911 HH),2.767,0.0839,13.82,46.06,301.37,2.535,3.00,4.6,40743,0,4686,,,10.07,N,N,25.458,0.59
716 Berkeley (A911 OC),2.814,0.0866,8.49,145.88,56.19,2.570,3.06,4.72,42562,0,3866,,,10.74,N,N,19.768,0.17
717 Wisibada (A911 QK),3.136,0.2643,1.65,343.54,24.51,2.307,3.97,5.55,40622,0,4034,,,10.96,N,N,27.656,0.20
718 Erida (A911 SA),3.056,0.1980,6.93,38.51,174.61,2.451,3.66,5.34,43808,0,3861,,,9.79,N,N,70.911,1.28
720 Bohlinia (A911 UL),2.886,0.0186,2.35,35.68,109.51,2.833,2.94,4.9,46950,0,4473,,,9.68,N,N,33.73,1.40
721 Tabora (A911 UM),3.552,0.1180,8.32,38.37,352.71,3.133,3.97,6.69,40643,0,3729,,,9.36,N,N,86.309,2.96
723 Hammonia (A911 UO),2.994,0.0559,4.99,163.17,250.80,2.827,3.16,5.18,43818,0,4364,,,10.06,N,N,23.456,0.99
725 Amanda (A911 UQ),2.573,0.2223,3.79,68.65,323.16,2.001,3.14,4.13,39166,0,4439,,,11.81,N,N,23.687,0.21
726 Joella (A911 WC),2.565,0.2855,15.44,241.94,113.16,1.832,3.30,4.11,33434,0,3416,,,10.52,N,N,44.02,3.50
727 Nipponia (A912 CF),2.567,0.1039,15.06,133.04,274.36,2.300,2.83,4.11,40054,0,4088,,,9.61,N,N,32.17,1.50
729 Watsonia (A912 CE),2.76,0.0967,18.05,124.32,87.41,2.493,3.03,4.59,38578,0,3966,,,9.42,N,N,50.025,0.41
731 Sorga (A912 GH),2.99,0.1429,10.69,46.09,288.62,2.563,3.42,5.17,39063,0,4093,,,9.74,N,N,34.597,0.41
732 Tjilaki (A912 HK),2.456,0.0449,11.00,173.30,63.87,2.345,2.57,3.85,39961,0,4175,,,10.56,N,N,29.791,0.43
733 Mocia (A912 SA),3.398,0.0581,20.29,340.97,188.83,3.201,3.60,6.27,41477,0,3775,,,9.22,N,N,98.493,2.91
734 Benda (A912 TF),3.145,0.1009,5.81,3.13,65.91,2.827,3.46,5.58,39691,0,3985,,,9.99,N,N,67.318,0.27
735 Marghanna (A912 XD),2.731,0.3208,16.87,42.92,309.93,1.855,3.61,4.51,40223,0,4153,,,9.84,N,N,67.976,0.40
736 Harvard (A912 WC),2.202,0.1652,4.38,135.90,200.76,1.838,2.57,3.27,40086,0,3996,,,11.28,N,N,17.111,0.12
