Discovery Name,Common Name,Asterank NameAsterank Name,Type,a (AU),e,Value ($),Est. Profit ($),Δv (km/s),MOID (AU),Group
1989 YP,Decaro,Decaro,Cb,2.608,0.270,>100 trillion,73.51 trillion,9.553,0.961449,MBA
1942 XB,Strattonia,Strattonia,C,2.683,0.214,>100 trillion,>100 trillion,9.351,1.123260,MBA
1927 CQ,Lilith,Lilith,X,2.663,0.196,>100 trillion,93.59 trillion,9.366,1.153130,MBA
A896 AA,Edburga,Edburga,X,2.586,0.341,>100 trillion,>100 trillion,9.850,0.795395,MBA
1941 SG,Durrell,Durrell,C,2.728,0.252,>100 trillion,>100 trillion,9.358,1.040750,MBA
1933 UB1,Antwerpia,Antwerpia,C,2.686,0.234,>100 trillion,>100 trillion,9.419,1.075270,MBA
A904 AE,Brixia,Brixia,Ch,2.741,0.282,>100 trillion,>100 trillion,9.418,0.993845,MBA
A902 XA,Tokio,Tokio,M,2.652,0.223,>100 trillion,>100 trillion,9.484,1.071290,MBA
1987 QF7,Ludibunda,Ludibunda,K,2.746,0.238,>100 trillion,>100 trillion,9.360,1.095740,MBA
1990 WC,Johnmills,Johnmills,C,2.737,0.272,>100 trillion,90.13 trillion,9.449,1.004770,MBA
1951 RB,Bower,Bower,C,2.572,0.150,>100 trillion,>100 trillion,9.619,1.216870,MBA
1929 XC,Afra,Afra,X,2.640,0.223,>100 trillion,>100 trillion,9.573,1.089790,MBA
A914 FD,Zwetana,Zwetana,Cb,2.569,0.211,>100 trillion,>100 trillion,9.732,1.045990,MBA
A892 UA,Endymion,Endymion,Ch,2.568,0.129,>100 trillion,>100 trillion,9.635,1.259720,MBA
1935 FC,Nicole,Nicole,C,2.568,0.114,>100 trillion,>100 trillion,9.625,1.266420,MBA
A894 YA,Vienna,Vienna,K,2.635,0.247,>100 trillion,>100 trillion,9.662,1.001150,MBA
A918 WD,Buda,Buda,L,2.472,0.148,>100 trillion,>100 trillion,9.968,1.129840,MBA
A892 FD,Tamara,Tamara,C,2.317,0.190,>100 trillion,>100 trillion,,0.943952,MBA
1939 BK,Nasi,Nasi,Cgh,2.729,0.252,>100 trillion,>100 trillion,9.488,1.070020,MBA
A850 RA,Victoria,Victoria,L,2.334,0.220,9.64 billion,623.30 million,,0.824953,MBA
A903 SG,Amherstia,Amherstia,X,2.682,0.272,>100 trillion,>100 trillion,9.618,0.992689,MBA
1982 YC1,Tarkovskij,Tarkovskij,C,2.474,0.190,>100 trillion,>100 trillion,10.078,1.021380,MBA
A892 WA,Desiderata,Desiderata,C,2.597,0.314,>100 trillion,>100 trillion,9.974,0.833017,MBA
A920 EE,Westphalia,Westphalia,Ch,2.431,0.144,>100 trillion,>100 trillion,10.178,1.080700,MBA
A874 FA,Austria,Austria,Xe,2.286,0.085,>100 trillion,>100 trillion,,1.091580,MBA
A891 RD,Roxane,Roxane,Xe,2.287,0.085,>100 trillion,55.01 trillion,,1.081810,MBA
A879 UA,Hedda,Hedda,Ch,2.284,0.029,>100 trillion,>100 trillion,,1.208350,MBA
1983 RC,Milton,Milton,Xe,2.585,0.315,>100 trillion,15.52 trillion,10.077,0.773466,MBA
A916 GQ,Backlunda,Backlunda,C,2.436,0.119,>100 trillion,>100 trillion,10.174,1.196400,MBA
A865 QA,Klio,Klio,Ch,2.362,0.236,>100 trillion,>100 trillion,,0.797648,MBA
1935 QY,Beira,Beira,B,2.733,0.490,>100 trillion,57.73 trillion,10.689,0.638135,MCA
A916 HD,Henrika,Henrika,C,2.712,0.206,>100 trillion,>100 trillion,9.496,1.142220,MBA
A893 BE,Liguria,Liguria,C,2.756,0.240,>100 trillion,>100 trillion,9.470,1.127000,MBA
A889 KA,Amalia,Amalia,Ch,2.358,0.222,>100 trillion,>100 trillion,,0.832825,MBA
A912 HJ,Ruanda,Ruanda,X,2.751,0.188,>100 trillion,75.17 trillion,9.425,1.217760,MBA
1983 CQ3,Giovannipratesi,Giovannipratesi,Ch,2.792,0.237,>100 trillion,>100 trillion,9.427,1.145870,MBA
A904 PD,Pamina,Pamina,Ch,2.738,0.213,>100 trillion,>100 trillion,9.486,1.166980,MBA
A896 RD,Alemannia,Alemannia,M,2.592,0.120,>100 trillion,>100 trillion,9.692,1.291090,MBA
1975 DB,Brubeck,Brubeck,B,2.643,0.204,>100 trillion,>100 trillion,9.687,1.141570,MBA
A901 VK,Caprera,Caprera,C,2.720,0.219,>100 trillion,>100 trillion,9.558,1.154910,MBA
A911 FF,Boliviana,Boliviana,X,2.574,0.187,>100 trillion,>100 trillion,9.870,1.103520,MBA
1951 LA,Mathieu,Mathieu,X,2.766,0.305,>100 trillion,28.07 trillion,9.640,0.904124,MBA
A876 HC,Erigone,Erigone,Ch,2.367,0.191,17.33 billion,1.12 billion,,0.936616,MBA
A886 UA,Prymno,Prymno,X,2.332,0.089,>100 trillion,>100 trillion,,1.136230,MBA
A894 VC,Lampetia,Lampetia,Xc,2.779,0.330,>100 trillion,>100 trillion,9.682,0.916795,MBA
A908 OH,Dora,Dora,Ch,2.793,0.236,>100 trillion,>100 trillion,9.463,1.133680,MBA
A916 GH,Fanny,Fanny,Ch,2.771,0.213,>100 trillion,>100 trillion,9.468,1.171750,MBA
1975 VF2,Ostrovskij,Ostrovskij,Xk,2.750,0.190,>100 trillion,25.22 trillion,9.485,1.246100,MBA
A914 UF,Sarita,Sarita,X,2.634,0.320,>100 trillion,>100 trillion,10.110,0.811397,MBA
